block_id,len_chars,est_sentences,preview
36,1948,13,"Popeye's huge popularity led him to be adapted into animation, which would only be loosely based on ""Thimble Theatre"" du"
37,2094,26,"Manuel Colmeiro was another artist who traveled a lot. After the war, he went into exile in Argentina, where he created "
38,1992,29,"Takagi was born in Yasu on November 21, 1980. After dropped out from Kyoto Sangyo University, he joined J1 League club S"
39,1539,13,"The mathematical equations of quantum mechanics are abstract, which means it is impossible to know the exact physical pr"
40,2052,31,Sugababes are a British girl group. They were formed in 1998 by Ron Tom when the members were still at school. The band 
41,1620,21,The Earl of Pembroke and sir Giles d'Argentan were guarding the English King. As the battle was now lost they needed to 
42,1525,16,"At Tobolsk, she and her sisters sewed jewels into their clothes. This was because Alexandra, Nicholas and Maria had had "
43,1537,11,"Hurricane Wilma crossed the Florida peninsula in about 4.5 hours while continuing to speed northeastward, and entered in"
44,1872,22,"At the age of 7 years old, Raap was advized by a teach of his school to start with athletics. During his youth years he "
45,1574,11,"In 2014, Ian recorded ""Shangri-la"" (also known as ""Rannalle""), a song he wrote with Finnish boy band TCT and producer Er"
46,1675,13,The words of Nakamura's citation explain: Private First Class William K. Nakamura distinguished himself by extraordinary
47,2033,20,"On June 21, 2011 John posted to his Twitter account that the band rehearsed new music for the first time and that they a"
48,1585,11,It was around this time that Abigail and Betty began going to court and lying to the judge that their neighbors were per
49,1602,16,An algal bloom is an accumulation of algae (typically microscopic) or a rapid increase in their amount in a body of wate
50,1658,13,"Immurement (from Latin ""immurus"", meaning "" wall in"" or ""enwall""), immuration or live entombment is a historical form of"
51,1541,12,"The first time that the city appeared in a map was in 1131 with the name Jordi de Sassaro, in 1135 the name was Tathari."
52,1562,22,South Korea's history began with Dangunwanggeom's Gojoseon. Gojoseon was conquered by Han China. After Gojoseon collapse
53,1559,20,"Heinrich Körner (born Heinrich Krczal, 2 July 1893 – 8 December 1961) was an Austrian football player and coach. Born as"
54,2304,16,"The Big Bang produced a hot, dense, nearly homogeneous universe. As the universe expanded and cooled, particles, then nu"
55,1674,18,"The son of an Anglican pastor, Carlisle was raised during a time of religious persecution. His father led hunts for witc"
56,1659,33,"All about Eve is a 1950 American drama movie. The movie was directed by Joseph L. Mankiewicz. It stars Bette Davis, Anne"
57,2342,20,Most axons carry messages in the form of action potentials which start in the cell body of a neuron and travel down the 
58,1738,24,"On 24 August 2011, he scored his first goal of the new season. He scored it 20-yards from the goal. The match was agains"
59,1511,16,Theni district is a district of the Tamil Nadu state in South India. The city of Theni is the district headquarters. The
60,1940,16,"With a new mission to do, Din Djarin learns that another Mandalorian on Tatooine can help him locate a Jedi so they can "
61,1811,16,"The Kyoto Protocol is a plan created by the United Nations for the ""United Nations Framework Convention on Climate Chang"
62,1636,31,The movie didn't have circus scenes at first. Vasan added them later during production. The script changed for that scen
63,2065,28,The Phoenicians were a culture that existed in the coastal region of the Levant as early as the 3rd millennium BC. They 
64,1809,21,"The Cellular Jail, also known as Kālā Pānī (Hindi for ""black waters""), was a colonial prison in the Andaman and Nicobar "
65,1649,11,Marley continues to give John new material for his column by causing havoc on the house and readers loved it. Jenny beco
66,1763,16,"In the Haya Chak Era, when King Sentreng Apanba reigned in Antique Kangleipak (Ancient Manipur), he had a nobleman named"
67,2290,18,After the death of Mithridates II of Parthia his son Gotarzes I succeeded him. He reigned during a period coined in scho
68,1621,31,"When Thoibi was on her way back home, her suitor Angom Nongban Kongyamba waited for her. Kongyamba asked his watchmen if"
69,1551,19,"Essen has nine districts (""Bezirke"") and 50 boroughs (""Stadtteile""). The most famous and most known are ""Kettwig"", until"
70,1526,14,"After she was divorced from Johnson in 1983, Gifford met sports commentator Frank Gifford (born August 16, 1930) during "
71,1574,8,"Mechanical ventilators work by themselves without manual operation and are usually controlled by computers, and can be p"
72,1545,18,Spain qualified for a big women's tournament in 1997 and reached the semi-finals in their first European Championship. T
73,1550,13,The chaos continued as other royal guards were found and beaten; at least one more was killed and his head too appeared 
74,1741,19,"The English army reached Tor Wood on June 23rd and stopped. They were met by Sir Philip Mowbray, the English commander o"
75,1518,16,"""Kingdom Hearts II"" is the third game of the series for PlayStation 2. It was released in Japan on December 22, 2005, in"
76,1766,14,"On July 12th 2006, Hezbollah launched an attack against an Israeli division while it was patrolling along the border. Du"
77,1959,23,"The history of the British Museum began with the Irish born British physicist Hans Sloane, who died aged 93 in 1753. Dur"
78,1725,18,goodwill during ancient times in hindu culture. The story goes when king Bali captured the Adobe of hindu demigods and c
79,1730,12,The Twelve Days of Christmas is an English Christmas carol which was published around 1780 but may predate the publicati
80,1633,19,"Although both the 6th and 18th Army were in place at the Dutch border, the first, larger force would move south of Venlo"
81,1675,12,"""Feelin' So Good"" opens with a intertitle that features a behind-the-scenes look at Lopez during the artwork shoot for """
82,1670,17,"When used as a measure of money, it refers to a talent-weight of gold or of silver. The gold talent is reported as weigh"
83,2077,15,The party had been in power since 7 February 2008. It attempted to win a fourth consecutive general election. UDP Leader
84,1748,22,"After Ahab's death, Moab rebelled from Israel, and Ahaziah had fallen through the lattice of his upper room in Samaria a"
85,2278,29,"In the medieval period, forts carried much significance. With a firm hold over a fort, one could defend as well as contr"
86,2277,19,"In Germany, the nationwide competition includes children and adolescents up to the age of 21, for singing and organ up t"
87,2105,24,"David married Bathsheba, but ""...the thing David had done displeased the LORD."" So, Nathan the prophet went and told him"
88,1994,29,"Edward ruled from time of his father's death on 26 October, 899. But he wasn't crowned until Whitsunday (8 June) of 900."
89,1514,14,Maoism is the communist (a plan about how countries should work) idea created by the Chinese man Mao Zedong. Mao believe
90,1744,7,"In early April 2020, UEFA announced that due to the COVID-19 pandemic in Europe, the deadline for entering the tournamen"
91,1816,23,"In France, the manufacturing of arms got its start as a large industry in Saint-Étienne in about 1535. The first armory "
92,1974,27,"By summer, the campaign reached towns. In Bafra, it kicked off with an ancient ploy, according to the Greek Patriarchate"
93,1573,19,"Law enforcement authorities shot and killed Winston Boogie Smith, an armed 32-year-old black American man, in the Uptown"
94,1942,15,"On February 17, 1910, the Chicoutimi Hockey Club played an informal game against the Montreal Canadiens, a professional "
95,1792,15,Kennedy started playing junior hockey with the Winnipeg South Blues of the Manitoba Junior Hockey League (MJHL) in 1985.
96,1552,13,"On June 10, the JMA began monitoring on a weak tropical depression that had developed to the east of the Philippine isla"
97,1606,14,Lloyds Bank plc is a British retail and commercial bank with branches across England and Wales. It has traditionally bee
98,1506,15,People had been using microbial lactic acid fermentation to produce food long before Pasteur had described it. Archeolog
99,1733,24,"While on the bus, Abraham found out that Chris liked Selena. Abraham tells Chris and Selena that their relationship is o"
100,1543,10,"Martha Jones is introduced in the 2007 series of ""Doctor Who"", first appearing in the episode ""Smith and Jones"". When th"
101,2290,18,"Much like “The Tell-Tale Heart,” “The Black Cat” follows the narrator’s descent into madness after he proclaims his sani"
102,1730,23,Quill was elected a councillor on Cork County Council in 1925. It has been said that he was recruited into the party by 
103,2322,23,"In the US, male circumcision is commonly done after birth in the Hospitals. According to the CDC, the latest data (from "
104,1918,15,Milk products and their fermentation have had an important influence on some cultures’ development. This is the case in 
105,1618,7,"After the engagement, ""Bismarck’s"" commander reported that ""Hood"" sunk and another battleship thinking it was ""King Geor"
106,1690,21,"Adidas has three types of logos, which are originals, sports performance, and sports style. Each type follows the produc"
107,1665,9,"The author claimed, in dashavatar, the scripturally mentioned Buddha Avatar was finally found as Gautama Buddha from Bud"
108,1505,12,"Horses and donkeys, domesticated about 5000 BCE, are feral in open grasslands worldwide (""see"" feral horse). In Portugal"
109,1549,16,"Kathak is a dance form that originates from Uttar Pradesh, North India. It is said that: “Katha kahe so kathak,” which m"
110,2278,20,"The Syrian Arab Armed Forces is the Military of Syria, Originally formed in 1946. The Syrian Arab Armed Forces consists "
111,1508,12,"""Vib-Ribbon"" was released by NanaOn-Sha (the creator of ""PaRappa the Rapper"") in 1999, and did not use instrument-shaped"
112,1629,13,"In 2011, as two new teams were added to the IPL, the IPL Governing Council declared that each franchise could retain a m"
113,1525,12,"As of 2024's first quarter, there are allegations that there has been (wrong behavior or) prosecutorial misconduct in th"
114,2081,15,"A person, who takes part in the competition, does the long ceremony and the act established by custom before the fight. "
115,1775,13,"Geographically and culturally, the region now called north-east India is between the two traditions of Indic Asia and Mo"
116,2134,18,"On 15 January, Constables Morris, Murphy and Simpson were searching the Abercrombie area for bushrangers and spoke with "
117,1597,8,"In ""Power Rangers Super Ninja Steel"", the heroine teens find themselves face-to-face with an old enemy when they discove"
118,1873,22,"Otto ""Schloime"" Fischer (1 January 1901 – 1 July 1941) was an Austrian football player. He played as forward for differe"
119,2397,29,"Ademir has played for the national team for the first time in 1945. On January 21, he first appeared in a match against "
120,1953,17,"She received his decoration from King George VI at Buckingham Palace. The words of her citation explain: On May 28th, 19"
121,1643,23,In 1054 the king again entered Normandy with a large hostile force. He split his army in two and led the southern forces
122,1572,21,"Mary-Jane Watson is played by Kirsten Dunst in the 2002 movie ""Spider-Man"". She and Peter Parker's best friend Harry Osb"
123,2316,25,Slate quarrying began in the hills above Tywyn in the 1830s. Although many small quarries and test levels were establish
124,1653,16,"Intending to crush the growing power of Shivaji Maharaj, Aurangzeb sent Jaisingh of Ambar, an experienced and powerful M"
125,1783,14,"The history of Vietnam begins around 2,700 years ago. Successive dynasties based in China ruled Vietnam directly for mos"
126,1507,26,"Joey Gladstone is the best friend of Danny Tanner from his childhood. When Danny's wife dies, he moves in with him helpi"
127,1552,16,"Simchat Torah evening is a wikt:festive and child-friendly holiday. After the regular holiday evening prayers, all the T"
128,1825,22,"""The Marshall Mathers LP"" was released in May 2000. The album sold more than 1.78 million copies in the US in its first "
129,1835,14,The words of Tanouye's citation explain: Technical Sergeant Ted T. Tanouye distinguished himself by extraordinary herois
130,1501,14,"In the sixth and seventh seasons, ""The West Wing"" explores a leak of top-secret information by a senior staffer at the W"
131,1636,18,"Oswald had been born in New Orleans, 2 months after his father died, and his mother moved him and 2 brothers to several "
132,1866,13,Leonard Hofstadter is a fictional character in the television show The Big Bang Theory. Leonard is from New Jersey. His 
133,1740,23,Hermione is one of Harry Potter's best friends. She knows nearly every thing in the magical world. She spends a lot of t
134,1569,14,"Aaliyah had a vocal range of a soprano. With the release of her first single ""Back & Forth"", Dimitri Ehrlich of ""Enterta"
135,1666,20,"Polyphemos appears in Homer's ""Odyssey"". On his journey home to Ithaca after the Trojan War, Odysseus lands on the islan"
136,2025,25,"In Brussels in Belgium, the main Carnival procession is held in the Grande Place, the town square in front of the Gothic"
137,2003,12,In his Works and Days Hesiod gives the oldest known literary version of the story. There is an older story that says tha
138,1880,14,"Minella made his debut in the Argentine national selection in 1933, after the successes with the shirt of Gimnasia; that"
139,1503,22,In 604 Athelfrith attacked Deira to his south. King Athelric of Deira was killed. Athelfrith also tried to kill Edwin of
140,2064,17,"""Avatar"" draws on the four classical elements common to many ancient philosophies for its bending arts: Water, Earth, Fi"
141,2364,19,Victor Hugo's first mature work of fiction appeared in 1829. It reflected his interest for society which appeared more o
142,1885,12,Mick promises to help her broadcast a signal which will mind control the whole planet. A monster named Gorrox disguises 
143,2074,19,Mario Kart Arcade GP 2 is the second game in the Mario Kart Arcade GP series and the seventh in the Mario Kart series ov
144,1514,15,"The story of the relics of St Edward began at the moment of his death (martyrdom). Immediately following the murder, the"
145,1622,13,This Surah was revealed at the end of 6 AH or at the beginning of 6 AH after the Treaty of Hudaybiyyah . This is clear f
146,2287,19,"In December 1860, convict Peisley gained his Ticket of Leave at Scone, conditional upon him remaining in the Hunter Rive"
147,1540,20,"Mumbai (previously known as Bombay until 1996) is a natural harbour on the west coast of India, and is the capital city "
148,1526,12,"Oldsmobile in the 50s was centered on the Rocket engine and the Space Race. During this time, Oldsmobile cars with the R"
149,2078,15,"In 1984, the National Science Foundation began work on establishing five new supercomputer centers, including the Cornel"
150,1784,14,"ETH Zürich is a public research university in the city of Zürich, that was founded by the Swiss Federal Government in 18"
151,1681,19,Max finds out that people are moving into the house next door. The new neighbors turn out to be Freak and his mother Gwe
152,2065,24,"While used mostly by the Union army, rifled guns were still a new idea and were not very popular among artillery officer"
153,1622,13,"Crusio is the founding editor-in-chief of ""Genes, Brain and Behavior"". This journal started in 2002 and has an impact fa"
154,1601,13,"When Alfonso II died, Ramiro I (842–50) staged a coup against the ""Count of the Palace"" Nepotian, who had taken the thro"
155,1864,12,"Rodger's parents decided to remove him from Taft High School after only a week, and after a few weeks of Rodger staying "
156,1615,23,The Pawnee are a Native American Plains Indians tribe. They lived mainly in what is now Nebraska and Kansas. Unlike othe
157,1556,11,"In 1980, when Joshua Milton Blahyi was 9 years old, a man named Samuel Doe led a rebellion against president William Tol"
158,1667,14,The origin of the rug is unknown. There are different theories regarding the origin of the carpet. While a number of sch
159,1615,12,"Inside The Brothers Karamazov, people struggle between religious faith and doubt. When Fyodor Karamazov asks, “Is there "
160,1633,12,"After the WWE brand extension, WWE started having drafts each year, where some wrestlers changed brands. After three yea"
161,1815,7,"The cast features fifteen major roles with star billing: eleven return from the fifth season, one returns from the fourt"
162,1556,14,"""Disgaea"" starts in a castle where the player controls Laharl. He or she can buy weapons, armor, accessories, and items,"
163,1949,13,"After Sir Austen Chamberlain became British Foreign Secretary, he wanted a British guarantee to France and Belgium as th"
164,1715,15,"Rodger's mother had met George Lucas and dated him briefly, leading to Rodger and his mother getting invitations to ""Sta"
165,1798,16,The words of Moto's citation explain: Private First Class Kaoru Moto distinguished himself by extraordinary heroism in a
166,2137,17,"In 1918–19 Vézina won ten games, and helped the Canadiens defeat the Ottawa Senators in the NHL playoffs for the ability"
167,1575,20,"Burnside's plan, approved by Lincoln, was to move the army south to attack Richmond. He decided to move via Fredericksbu"
168,2396,27,"For such a prolific empire, there are few written accounts of its greatness. Most of the written accounts that do exist "
169,1659,8,"In 1947 upon the Independence of Pakistan and the Indian Transfer of Power, the last Babi dynasty ruler of the state Moh"
170,2314,24,"Christoph Probst (November 6, 1919-February 22, 1943) was one of the six core members of the White Rose Resistance Group"
171,1710,21,Tanuja lives with her friend Abhishek Khurana and her and Rishi's daughter Natasha in London. Rishi lives with Netra and
172,1874,26,"Lai Khutsangbi wanted to eat the child Shasi. But Shasi's father, Shasipa was so brave that the Lai Khutsangbi was afrai"
173,1639,26,The adult Luke Skywalker is first seen in this movie. He was raised on the planet Tatooine. Tatooine is a desert planet.
174,2332,16,"The English experience of witchcraft was somewhat different from the European one, with only one really mass witch hunt,"
175,1839,13,"Late on September 4, Noru's LLCC that remained partially exposed since formation unexpectedly became elongated and start"
176,1800,13,"Defiance is a 2008 American war-drama movie. The movie directed by Edward Zwick. The movie stars Daniel Craig, Liev Schr"
177,1670,23,"""All in the Family"" is about a family who lives during the early 1970s in the suburbs of Queens, New York City. The sitc"
178,1636,8,West contends that popular coverage of the controversy obscured the true issues at stake in his dispute with Summers. We
179,1550,18,"Turan University (, ""Turan Ýnıversıteti""; Russian: Университет Туран), is a university in Almaty, Kazakhstan. It is the "
180,1604,25,"Farmers' lives and work became even worse when about 20,000 emus arrived. Emus regularly migrate (move from one area to "
181,1501,18,Sportswriter Hugh S. Fullerton is involved in the next development in the history of sports psychology. Fullerton brough
182,1904,19,"In spring 1991, Mark Clements was appointed Artistic Director. His first season opened with a production of ""And A Night"
183,1532,8,He was involved in a real-life backstage fight with Jacques Rougeau and the Bulldogs wrestled their last WWF match at th
184,1584,11,"Day 1 of the march was May 2, 1963. Bevel dubbed it “D-Day,” a direct reference to the Normandy Invasion that led to the"
185,1506,22,"""Lakeview Terrace"" was rated 44% on the Rotten Tomatoes website. The critical consensus from the site read: ""This thrill"
186,1643,20,"Tom Burnett made several phone calls to his wife beginning at 09:30:32 from rows 24 and 25, though he was assigned a sea"
187,1716,6,"Back in the present, Farhan, Raju and Chatur arrive in Shimla to meet Rancho, but are extremely shocked to come across a"
188,1591,19,He made his debut on 1 February. He played the full 90 minutes of a 0-0 draw at home to Wolverhampton Wanderers. In Manc
189,1621,27,"Because Chiang Kai-shek was ignored by the American general, he had Stilwell called back to the United States. ""New York"
190,1555,24,"When he saw what a rich city Carthage was, Iarbus wanted to marry Dido. He told her that if she did not marry him, he wo"
191,1821,6,"Following the takeover of the Popeye animated franchise by Paramount Studios in 1942, the Popeye cartoons were now handl"
192,1582,17,"A polynomial equation is an equation where you are only allowed to add and subtract multiples of powers of a variable, l"
193,1565,17,"The music video was filmed in Joshua Tree, California by Tango Productions. It was directed by Cecilia Miniucchi, who di"
194,1878,16,"Grand Est (; Alsatian: ""Grossa Oschta""; Moselle Franconian/; Rhine Franconian: ""Groß Oschte""; ; ) is an administrative r"
195,1557,12,Dead's mental state began to take a turn for the worse due to his fascination with death and his social situation. Becau
196,1887,9,"Over a flashback ten years prior, it is shown that Farhan joined the prestigious ICE in his first year of college, since"
197,1779,10,"At six years of age, Popeye began to fulfill his promise of taking his exercising more seriously and started devoting hi"
198,1729,21,Brazil faced Peru in the quarter finals. They won the game 4-2 and they defeated Teófilo Cubillas and Peru. Cubillas had
199,1742,18,"At school, Freak nearly dies when he chokes after eating American chop suey. Max alerts the nurse. Freak is taken to the"
200,1714,12,Simcoe got married to Elizabeth Posthuma Gwillim and he was elected to the House of Commons as a supporter of Prime Mini
201,1873,20,Machel Montano (born 24 November 1974) is a artist from Trinidad and Tobago. He is the lead of the soca band Xtatik. He 
202,2225,15,"His rivalry with Benjamin ended because Sheamus had already been moved to the Raw brand. He made his ""Raw"" debut by defe"
203,1835,9,Holmes reveals his deductive reasoning: the warning note had a woman's perfume scent; the theft of the shoes gave a clue
204,1626,16,"In 1920 Stravinsky’s family moved from Stravinsky to Brittany, then the following year they moved to Biarritz. Stravinsk"
205,1624,10,"After rising to army command early in 1917, Hutier began to apply the lessons learned from his three years of commanding"
206,1506,10,"When the ECW brand was discontinued, Tatsu made his debut for the Raw brand on the February 22, 2010 edition of Raw, and"
207,1671,14,The porous material will not allow larger molecules to pass so these molecules go to the next pore and again they cannot
208,1587,23,Shivaji Maharaj intended to capture as much of Adilshahi province and forts as possible. He captured the Adilshah forts 
209,2107,25,"The first firearms can be dated to about the 1200s in China. In Europe, the first gun barrels were made by p Italian cra"
210,1540,18,"Patrick is as a pink starfish who is silly, fat, lazy, immature, forgetful, rude, and generally ignorant. He has been sh"
211,1586,13,"Ernesto Lazzatti was born on September 25, 1915 in Ingeniero White, a neighborhood of Bahía Blanca, in the province of B"
212,1934,15,The Durrani Afghan forces and their allies finally won and defeated the Marathas. The place of battle field is disputed 
213,1604,12,"Upon arriving in England in June 1858, Morphy promptly challenged Staunton to a match. At first, Staunton declined Morph"
214,2149,21,"Every year the academy in Paris would hold a big exhibition (art show) called the ""Salon de Paris"". In 1863 an artist ca"
215,1990,27,"In 1116 Louis IV raided into Normandy again. Louis had supported Henry I's nephew, William Clito as the Duke of Normandy"
216,1608,16,"Being a complex man as a policy maker, many Koreans continue to hold Park in high regard in great part due to the indust"
217,1973,19,"On July 20, 2013, Rodger, wanting to lose his virginity days before his 22nd birthday, drank vodka to become drunk. He w"
218,1590,15,The GC-MS is made up of two major building blocks: the gas chromatograph and the mass spectrometer. The gas chromatograp
219,1795,18,"First of all, right pass is the most important requirement to be a good point guard. A point guard's first thought shoul"
220,1521,15,"In 1988 he became one of the four ""Jagadguru Ramanandacharyas"", the leaders of the Ramananda order. He is the founder of"
221,1859,15,The sex organs or genitals are used for sexual reproduction and for sexual intercourse. For sexual reproduction to happe
222,1608,13,"Catholics, like many Christians, accept the Nicene Creed, a combination of the Council of Nicaea (AD 325) and the later "
223,1525,18,"Stresemann was not, however, in any sense pro-French. His main preoccupation was how to free Germany from the burden of "
224,1532,10,"Analysts for the video game market considered 2009 to be critical to further success of the genre. Both the ""Guitar Hero"
225,1608,19,"Around 850, Saint Altfrid founded the ""Damenstift"", an abbey for women, ruled by a prince abbess. In this time the cathe"
226,1899,23,"Late in the afternoon, a ""Yorktown"" scout aircraft located ""Hiryū"". ""Enterprise"" launched a strike of dive bombers (incl"
227,2014,23,"England made their first appearance in a big women's tournament in 1984, where they finished as runners-up in the Europe"
228,1828,27,"In the North, the commander of ""1. Kavalleriedivision"", Major General Kurt Feldt, had to go over the Enclosure Dike beca"
229,1888,16,"In December 1997, Aardman and DreamWorks (later DreamWorks Animation) announced that their companies were teaming up to "
230,1603,106,"- Songs of my folk / Compiler of the Musical Literary Species Collection - F.A. Kildiyarova; scientific ed., comp. liter"
231,1805,29,Her parents were Juliana McLachlan and David Gardiner. Her parents belonged to a famous and wealthy family of New York. 
232,1797,19,The story itself begins with a young farm boy named Eragon finding a polished blue stone in the Spine (a smaller mountai
233,1677,24,Stuart learned from his trip with Sturt that large groups were not able to move quickly through the dry Australian lands
234,1556,25,"The other Interpromotional match on the card was between Randy Orton and The Undertaker, with Orton representing Raw and"
235,2139,16,"The People's Republic of Bulgaria was the official name of Bulgaria, when it was a socialist republic from 1946 to 1990."
236,1521,17,Töregene was friends with Ögedei's commanders in China. The fighting between the Mongols and the Song soldiers was in Ch
237,1618,17,The duality of Shiva's fearful and auspicious attributes appears in contrasted names. The name Rudra reflects Shiva's fe
238,1600,13,"The Book of the Dead was a series of almost two hundred spells represented as texts, songs and pictures written on papyr"
239,1955,28,"Grace Chatto, one of the members of Clean Bandit, told that London Evening Standard that the song was based on an experi"
240,2236,9,In Wales (and England) buildings with significant historical interest are often classified into either Grade I or Grade 
241,1940,34,"Max Kane helps Rachel run away from her overly religious and abusive stepfather. Rachel is nicknamed ""Worm"" because of h"
242,1605,17,The British annexed Assam into the Indian British Empire in 1826. After 1826 the Lower Assam and the Central Assam (Darr
243,1641,17,"Streptomyces are medically important, as they produce antifungals, antiparasitic drugs, antivirals, antitumorals, anti-h"
244,1553,18,"Jodi Lynn Picoult (born 19 May 1966 in Nesconsent, Long Island, New York) is an American author. Picoult comes from what"
245,1680,20,Thayer promoted the idea of “business antislavery”. The idea behind Thayer's Emigrant Aid Company was to level the playi
246,1771,13,"In the 19th century, several chemists discovered some fundamental concepts of the domain of organic chemistry. One of th"
247,1609,16,"As time passed, the gap between rich and poor increased. Frank Fontaine created charity organizations to support the und"
248,2096,15,"""This City"" is the first solo mainstream radio single released by American pop singer-songwriter Patrick Stump off the d"
249,2173,17,"As the controversy went further, the Wikipedia community began looking at Essjay's previous changes. Some felt he had re"
250,1509,16,In Hymenoptera there are many variations. The distinction between the 'parasitic' and the 'traditional' hymenoptera can 
251,1664,17,"Assistant Commissioner of Police Jai Dixit (Abhishek Bachchan), a no-nonsense cop, is called onto the case. Dixit seeks "
252,1977,17,"3 Idiots (stylized as 3 idiots) is a 2009 Indian Hindi-language coming-of-age comedy drama buddy film written, edited an"
253,1561,13,"In 1981, Marvin settled in Ostend, Belgium thanks to a former Belgian sports promoter and with his encouragement began r"
254,1831,16,"May Ying Chen (born 1948) is a labor organizer who specializes in immigrant workers rights. For more than twenty years, "
255,1590,17,Language starts as a tool external to the child used for social interaction. The child guides its behavior by using a ki
256,2299,11,"Like the Prime Minister, Premiers and Chief Ministers are the state/territory leader of the party that forms government."
257,1546,16,"Böhm was born in Graz, Austria. He wanted to be a musician, but his father said that he should study law first, because "
258,1510,20,"Sickles, not impressed with his new commander or his orders. He rode to Meade's headquarters about 11:00 a.m. and waited"
259,1723,12,The Pennsylvania Turnpike is a toll road (a road cars have to pay to drive on) operated by the Pennsylvania Turnpike Com
260,1529,22,"If someone wants to visit a Gurdwara, a certain protocol (or set of rules and expectations) must be followed. In Sikhism"
261,2050,22,"On October 8, 1988, 12 prisoners from Youngdeungpo Prison escaped into Seoul city during their transfer to Kongju Prison"
262,1925,19,"The relics of the Bronze Age like dolmens or patternless earthenwares were unearthed in Hyunpo, Namsu and Judongri. Acco"
263,1739,14,"Smith was born in Tacoma, Washington on January 22, 1939. He graduated from the University of Puget Sound with a degree "
264,1719,12,"After the cashier has scanned all of the goods, he or she will ask the customer for payment. If the customer is paying b"
265,1846,13,"Dissecting these components, it appears each element serves a purpose in its iconography of kingship. The recessed or ni"
